id,carat,cut,price,color,clarity
A1,0.51,Premium,1749,F,VS1
A2,2.25,Fair,7069,G,I1
A3,0.7,Very Good,2757,E,VS2
A4,0.47,Good,1243,F,VS1
A5,0.3,Ideal,789,G,VVS1
A6,0.33,Ideal,728,D,SI1
A7,2.01,Very Good,18398,G,SI1
A8,0.51,Ideal,2203,F,VVS2
A9,1.7,Premium,15100,D,SI1
A10,0.53,Premium,1857,D,VS2
A11,0.39,Premium,83400000000,H,SI1
A12,1.5,Very Good,7708,H,SI1
A13,1,Premium,6272,E,VS2
A14,1.29,Ideal,5676,J,VS1
A15,2.01,Good,16776,D,SI2
A16,1.13,Ideal,7404,G,VS1
A17,0.7,Ideal,1702,I,SI2
A18,0.38,Very Good,606,I,VS1
A19,1.17,Ideal,5423,H,SI2
A20,1.51,Premium,8033,F,SI1
A21,0.4,Ideal,1279,D,VVS1
A22,0.41,Very Good,863,F,VS2
A23,0.51,Ideal,1893,G,VVS1
A24,1,Premium,3584,H,SI2
A25,1.09,Ideal,10196,F,VVS2
A26,0.39,Good,1082,E,VS1
A27,0.72,Premium,3024,E,VS2
A28,1.14,Very Good,5593,E,SI2
A29,0.3,Ideal,710,D,VS2
A30,0.3,Ideal,465,H,SI1
A31,0.71,Very Good,,H,SI1
A32,1.22,Very Good,5192,H,SI2
A33,1.53,Ideal,9562,H,SI2
A34,0.5,Premium,1436,F,VS2
A35,0.42,Ideal,1087,G,VS2
A36,1.22,Ideal,6727,H,SI1
A37,0.3,Ideal,552,I,VVS1
A38,0.25,Ideal,525,G,VVS2
A39,,Very Good,579,H,VS1
A40,1.2,Ideal,6741,G,SI1
A41,0.7,Ideal,3205,G,VVS2
A42,0.31,Premium,802,F,VS2
A43,0.41,Ideal,1107,F,VS2
A44,0.9,Ideal,3200,E,SI2
A45,1.44,Good,5987,G,I1
A46,0.7,Good,2218,G,SI1
A47,0.35,Premium,788,E,SI1
A48,0.54,Premium,1595,D,SI1
A49,1.71,Very Good,13818,F,VS2
A50,1.01,Premium,6244,F,VS2
A51,0.43,Ideal,935,G,SI2
A52,0.71,Ideal,3304,E,VS2
A53,0.32,Very Good,602,F,VS2
A54,1.13,Ideal,6891,G,VS2
A55,0.91,Premium,3639,E,SI2
A56,1.02,Very Good,5278,E,SI1
A57,0.36,Ideal,1094,E,VS1
A58,0.3,Premium,776,G,VS1
A59,0.3,Ideal,863,G,IF
A60,0.77,Ideal,2475,I,SI1
A61,0.4,Ideal,815,H,VS1
A62,0.7,Very Good,2513,I,VVS1
A63,0.4,Very Good,1075,E,VVS2
A64,0.58,Ideal,1401,F,SI1
A65,1.01,Premium,5656,E,SI1
A66,1.3,Premium,8164,F,SI1
A67,0.34,Ideal,413,D,I1
A68,0.33,Ideal,802,E,VVS2
A69,1.22,Premium,6121,E,SI2
A70,0.26,Ideal,452,F,VS1
A71,0.57,Premium,1608,I,VVS1
A72,1.01,Premium,4137,F,SI2
A73,0.31,Ideal,544,H,VS1
A74,1.01,Ideal,4617,J,VS2
A75,0.51,Fair,1234,H,VS1
A76,0.42,Ideal,1210,D,VVS2
A77,0.31,Very Good,408,I,SI1
A78,0.28,Very Good,642,F,VVS1
A79,0.42,Very Good,854,G,VS2
A80,0.5,Ideal,1555,E,SI1
A81,0.79,Ideal,4240,E,VS1
A82,1.03,Ideal,4928,G,SI2
A83,0.73,Ideal,4182,G,VVS1
A84,1.01,Very Good,4606,D,SI2
A85,1.12,Ideal,6774,G,VS2
A86,2.01,Premium,17826,I,VS2
A87,0.36,Ideal,718,E,VS2
A88,1,Fair,5460,H,VS1
A89,1.51,Good,11640,G,VS2
A90,0.8,Very Good,3293,E,SI1
A91,0.53,Premium,1753,F,VS2
A92,2.09,Very Good,18215,I,VS1
A93,1.01,Fair,4004,G,SI1
A94,0.58,Premium,1636,I,VVS1
A95,0.7,Very Good,3247,D,VS1
A96,1,Very Good,6098,F,VS1
A97,0.36,Ideal,626,D,SI1
A98,1.1,Ideal,3872,E,I1
A99,1,Ideal,4760,E,SI2
A100,0.56,Fair,1389,E,SI2
A101,0.96,Very Good,3480,D,SI2
A102,0.37,Premium,692,E,VS2
A103,0.92,Ideal,5779,D,SI1
A104,0.33,Ideal,959,H,IF
A105,0.51,Good,1129,G,SI2
A106,0.77,Ideal,4039,D,VS1
A107,0.41,Premium,1192,F,VVS2
A108,0.44,Premium,1028,E,SI2
A109,1.24,Premium,7162,F,SI1
A110,0.57,Very Good,1384,E,SI2
A111,0.39,Premium,1024,G,VVS2
A112,0.6,Ideal,2142,F,VS1
A113,0.8,Premium,2447,F,SI2
A114,1.01,Ideal,5486,F,SI1
A115,0.71,Ideal,2319,I,SI1
A116,0.29,Very Good,607,G,VVS1
A117,0.38,Very Good,701,D,SI1
A118,0.91,Very Good,2905,J,SI1
A119,0.51,Ideal,1450,G,VS2
A120,0.77,Premium,2546,H,VS2
A121,1.58,Premium,7654,J,SI1
A122,0.51,Ideal,1431,F,VS2
A123,0.33,Ideal,1141,F,VVS1
A124,0.7,Ideal,3330,E,SI1
A125,1.51,Ideal,11628,E,SI1
A126,0.3,Premium,405,J,SI2
A127,1.09,Premium,5127,E,SI2
A128,1.23,Ideal,7256,I,VVS2
A129,0.5,Ideal,1076,I,SI1
A130,0.71,Premium,2554,E,SI1
A131,0.72,Ideal,2691,E,VS2
A132,0.33,Premium,854,G,VS1
A133,1.52,Very Good,9576,I,VS1
A134,1.23,Ideal,9116,G,VS1
A135,0.54,Ideal,1829,G,VVS2
A136,0.32,Ideal,828,F,VS2
A137,1.31,Premium,8767,E,SI1
A138,1.11,Ideal,5648,D,SI2
A139,1.03,Very Good,4283,H,SI2
A140,0.56,Ideal,1131,J,VS2
A141,1.29,Very Good,5601,H,SI2
A142,0.53,Ideal,1577,G,VS2
A143,1.7,Premium,11257,I,VS2
A144,0.3,Ideal,615,F,VS1
A145,0.32,Premium,828,H,VVS2
A146,1.51,Good,10763,H,VS2
A147,0.43,Ideal,1016,E,SI1
A148,0.3,Very Good,620,G,VS1
A149,3,Good,11548,E,I1
A150,0.75,Ideal,1944,J,SI2
A151,0.9,Very Good,4617,H,VVS2
A152,0.58,Very Good,1785,D,SI1
A153,1.01,Very Good,4619,H,SI1
A154,0.3,Good,484,F,VS2
A155,0.79,Ideal,3053,E,SI1
A156,0.71,Ideal,2233,G,SI1
A157,1.01,Premium,4525,G,SI1
A158,1.01,Very Good,10453,D,VVS2
A159,1.01,Very Good,5687,H,VS1
A160,1.2,Premium,7795,G,VS2
A161,0.27,Very Good,470,D,VS1
A162,0.56,Ideal,1616,I,VVS1
A163,0.41,Ideal,1431,E,VVS1
A164,0.72,Ideal,3740,F,VVS2
A165,0.55,Ideal,1363,D,SI2
A166,0.41,Premium,1015,D,SI1
A167,0.3,Very Good,1026,E,IF
A168,1.01,Ideal,8252,G,VVS2
A169,0.4,Very Good,611,E,SI2
A170,0.4,Premium,920,F,SI1
A171,0.31,Very Good,446,H,SI1
A172,0.39,Premium,787,G,VS2
A173,0.71,Very Good,2210,H,SI1
A174,1.11,Ideal,5262,E,SI2
A175,1.02,Ideal,6479,F,VS2
A176,0.33,Very Good,886,E,VS1
A177,2.2,Premium,18193,G,SI1
A178,2.02,Fair,14080,H,SI2
A179,0.56,Very Good,1436,F,SI1
A180,1.08,Ideal,9545,D,VS1
A181,1.51,Premium,10739,G,SI1
A182,1.15,Very Good,5538,G,SI1
A183,1.25,Premium,5975,I,VS2
A184,0.4,Ideal,995,G,VVS1
A185,0.76,Premium,2688,E,SI2
A186,1.01,Premium,7964,E,VS1
A187,1.2,Premium,4989,I,SI2
A188,1.34,Premium,5778,J,VS2
A189,0.34,Premium,596,G,VS2
A190,0.53,Ideal,1363,F,SI1
A191,0.35,Very Good,1001,G,IF
A192,0.23,Good,462,E,VVS1
A193,1,Good,5606,F,VS2
A194,2.04,Premium,15760,H,SI2
A195,1.01,Very Good,4794,I,SI1
A196,0.31,Very Good,778,H,IF
A197,0.41,Good,969,I,VS1
A198,1.11,Premium,7179,F,VS2
A199,1.05,Premium,4939,E,SI2
A200,0.51,Good,1424,E,VS2
A201,0.38,Ideal,1073,E,VVS2
A202,0.35,Ideal,580,I,SI2
A203,0.72,Very Good,3338,F,VVS2
A204,0.3,Ideal,499,E,SI1
A205,0.31,Very Good,625,F,VS2
A206,1.05,Ideal,7070,G,VS2
A207,0.38,Premium,812,I,VS2
A208,1,Premium,7056,F,VS1
A209,0.32,Very Good,449,I,VS2
A210,0.55,Very Good,1401,D,SI2
A211,0.56,Premium,1963,D,VS2
A212,0.31,Premium,663,F,SI1
A213,0.33,Ideal,946,G,IF
A214,1.72,Premium,10869,H,SI2
A215,1.01,Premium,6670,E,VS1
A216,2.02,Ideal,12713,J,SI1
A217,1.05,Ideal,9160,E,VS1
A218,0.24,Ideal,540,F,VVS2
A219,0.39,Good,1255,D,VVS2
A220,0.32,Ideal,756,D,SI1
A221,0.32,Very Good,517,H,SI2
A222,0.73,Ideal,2320,H,SI1
A223,0.54,Premium,1240,H,SI1
A224,0.52,Very Good,1607,F,VS2
A225,0.5,Very Good,1806,G,VVS2
A226,0.31,Ideal,936,E,VVS1
A227,1.22,Very Good,5072,I,SI2
A228,1.27,Good,5588,J,VS1
A229,0.7,Good,3175,E,VS1
A230,1.24,Premium,7222,H,VS1
A231,1.01,Premium,5599,E,SI1
A232,0.7,Very Good,3075,D,SI1
A233,1.1,Very Good,4997,G,SI1
A234,0.3,Very Good,658,E,VS2
