"id","basket_value","recency_days","Item_1","Item_2","Item_3","Item_4","Item_5","Item_6","Item_7","Item_8","Item_9","Item_10","Item_11","Item_12","Item_13","Item_14","Item_15","Item_16","Item_17","Item_18","Item_19","Item_20","Item_21","Item_22","Item_23","Item_24","Item_25","Item_26","Item_27","Item_28","Item_29","Item_30","Item_31","Item_32"
1,1.1,2,"citrus fruit","semi-finished bread","margarine","ready soups",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3.6,31,"tropical fruit","yogurt","coffee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.2,7,"whole milk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6.6,7,"pip fruit","yogurt","cream cheese ","meat spreads",,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2.5,66,"other vegetables","whole milk","condensed milk","long life bakery product",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2.7,61,"whole milk","butter","yogurt","rice","abrasive cleaner",,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2.2,67,"rolls/buns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3.5,47,"other vegetables","UHT-milk","rolls/buns","bottled beer","liquor (appetizer)",,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.2,7,"whole milk","cereals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,7.9,17,"tropical fruit","other vegetables","white bread","bottled water","chocolate",,,,,,,,,,,,,,,,,,,,,,,,,,,
12,7.3,24,"citrus fruit","tropical fruit","whole milk","butter","curd","yogurt","flour","bottled water","dishes",,,,,,,,,,,,,,,,,,,,,,,
14,3.9,47,"frankfurter","rolls/buns","soda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2.1,72,"chicken","tropical fruit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,3.1,47,"chocolate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.3,9,"other vegetables",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,4.1,76,"butter milk","pastry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.2,7,"whole milk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
